longitude,latitude,fault
4.6910,78.8060,0
5.5920,78.6410,0
6.7760,78.4440,0
7.7850,78.2350,0
125.7011,78.1741,0
125.5806,78.3047,0
125.2837,78.8229,0
125.1481,78.9943,0
125.0112,79.0664,0
123.4080,79.7590,0
122.6390,80.2060,0
121.8980,80.6430,0
121.0040,81.1150,0
119.9840,81.5950,0
119.2687,81.9931,0
118.9997,82.0939,0
117.8578,82.2811,0
117.6608,82.3435,0
117.1710,82.5390,0
116.5820,82.7400,0
115.7930,83.0140,0
115.2580,83.1510,0
114.5580,83.3210,0
113.7230,83.5120,0
112.8430,83.6740,0
111.9740,83.8240,0
110.9590,83.9650,0
109.7270,84.1100,0
108.9390,84.1940,0
107.7090,84.2950,0
106.7590,84.3690,0
105.3020,84.4850,0
103.9430,84.5780,0
102.9180,84.6640,0
99.4440,84.9110,0
98.5680,84.9600,0
97.2730,85.0280,0
95.8390,85.1020,0
94.1550,85.1550,0
92.3130,85.2290,0
89.9800,85.2960,0
88.4860,85.3460,0
86.8020,85.4180,0
84.8020,85.5000,0
83.1430,85.5560,0
81.1030,85.6390,0
78.4030,85.7680,0
76.3260,85.9170,0
75.0290,85.9890,0
72.9840,86.1060,0
70.9260,86.2030,0
70.0895,86.4040,0
7.7850,78.2350,0
7.8270,78.0900,0
7.7710,77.9110,0
7.8800,77.7120,0
7.8090,77.4790,0
7.6720,77.1480,0
7.6220,76.9690,0
7.6150,76.7990,0
7.5630,76.6020,0
7.5570,76.4310,0
7.4800,76.2790,0
7.5150,76.1170,0
7.5930,75.9810,0
7.6030,75.7290,0
7.8420,75.5270,0
7.9460,75.3820,0
8.2120,75.1880,0
8.4600,75.0760,0
8.6300,74.9460,0
8.7810,74.7630,0
8.9840,74.5430,0
9.1330,74.3770,0
9.1530,74.2330,0
9.2080,74.0960,0
9.2030,73.9790,0
9.1400,73.8820,0
9.0370,73.7580,0
8.9570,73.7060,0
8.8380,73.6280,0
8.6520,73.5340,0
8.3860,73.4850,0
8.1500,73.4270,0
7.7910,73.3710,0
7.3910,73.2520,0
7.0710,73.2030,0
6.7820,73.1450,0
6.0550,73.0190,0
5.5860,72.9240,0
4.9700,72.8210,0
4.3000,72.6970,0
3.6090,72.5800,0
2.7810,72.4330,0
1.9910,72.3280,0
0.9010,72.1340,0
0.2810,72.0150,0
-0.3920,71.9100,0
-0.9750,71.8150,0
-1.7430,71.6850,0
-2.3990,71.5920,0
-2.9370,71.5000,0
-3.6920,71.3980,0
-3.6920,71.3980,0
-4.0720,71.4910,0
-4.0720,71.4910,0
-4.3600,71.4320,0
-4.7410,71.3330,0
-4.7410,71.3330,0
-5.1570,71.4310,0
-5.6990,71.5400,0
-11.3700,71.7740,0
-11.7140,71.5880,0
-12.1060,71.3960,0
-12.3590,71.2520,0
-5.6990,71.5400,0
-5.9170,71.4650,0
-6.3330,71.3870,0
-6.9000,71.2820,0
-7.3750,71.1250,0
-7.3750,71.1250,0
-7.9410,71.2170,0
-9.3930,71.4560,0
-10.3560,71.6150,0
-11.3700,71.7740,0
-12.3590,71.2520,0
-11.8650,71.1470,0
-11.3560,71.0520,0
-11.3560,71.0520,0
-11.6690,70.8760,0
-12.0090,70.7060,0
-12.2550,70.5630,0
-12.2550,70.5630,0
-12.9050,70.6980,0
-13.3960,70.7720,0
-13.8920,70.8160,0
-13.8920,70.8160,0
-14.0360,70.7260,0
-14.2370,70.5170,0
-14.4480,70.3540,0
-14.4480,70.3540,0
-14.7340,70.3890,0
-16.4870,68.8080,0
-16.2630,69.0380,0
-16.0340,69.2650,0
-15.7160,69.5500,0
-15.4250,69.8400,0
-15.0240,70.1690,0
-14.7340,70.3890,0
-17.1540,68.8650,0
-16.4870,68.8080,0
-19.0990,67.0580,0
-18.7560,67.4430,0
-18.4900,67.7380,0
-18.2200,68.0660,0
-17.8290,68.4000,0
-17.3920,68.7000,0
-17.1540,68.8650,0
141.2420,66.9790,0
140.3300,67.4470,0
139.5051,67.8495,0
139.3840,67.9412,0
139.2845,68.0409,0
138.9630,68.4770,0
138.6029,68.9394,0
138.4703,69.0514,0
138.3405,69.1357,0
137.3680,69.6350,0
136.7580,69.9540,0
135.9553,70.5152,0
135.5672,70.7264,0
134.8540,71.2680,0
134.0170,71.8650,0
133.2670,72.2820,0
132.4830,72.6950,0
131.2630,73.3710,0
130.2000,74.0180,0
129.5950,74.4790,0
129.0865,74.8437,0
128.9455,74.9608,0
128.8433,75.0804,0
128.5190,75.4940,0
128.0500,76.0500,0
127.6340,76.6430,0
127.2657,77.1234,0
127.1526,77.2253,0
127.0512,77.3147,0
126.4570,77.6840,0
125.8201,78.0516,0
125.6919,78.1787,0
-18.1180,66.9340,0
-19.0990,67.0580,0
-18.2470,66.7810,0
-18.1180,66.9340,0
-17.4730,66.6850,0
-18.2470,66.7810,0
-17.7180,66.3650,0
-17.4730,66.6850,0
-16.5070,66.2030,0
-17.7180,66.3650,0
-19.2380,63.8620,0
-19.0410,63.9850,0
-18.6260,64.1820,0
-17.8220,64.4890,0
-17.3680,64.7370,0
-17.1410,64.9950,0
-17.0250,65.3790,0
-16.8590,65.6770,0
-16.6560,65.9430,0
-16.5070,66.2030,0
-21.2980,64.0670,0
-20.7310,64.0170,0
-20.0970,63.9490,0
-19.2380,63.8620,0
-23.0590,63.6500,0
-22.8720,63.7670,0
-22.5370,63.8360,0
-22.0660,63.9220,0
-21.2980,64.0670,0
-23.3300,63.6510,0
-23.0590,63.6500,0
-25.3110,62.6140,0
-25.1560,62.7100,0
-25.0350,62.8000,0
-24.8880,62.9240,0
-24.7210,62.9920,0
-24.5190,63.1100,0
-24.2550,63.2300,0
-24.0100,63.3550,0
-23.7400,63.4740,0
-23.4870,63.5680,0
-23.3300,63.6510,0
-25.4490,62.6200,0
-25.3110,62.6140,0
-28.9270,60.3330,0
-28.8290,60.4190,0
-28.6420,60.5660,0
-28.4080,60.7040,0
-28.1920,60.8480,0
-28.0240,60.9560,0
-27.8540,61.0660,0
-27.5820,61.2520,0
-27.3890,61.3980,0
-27.2260,61.5320,0
-27.0320,61.6650,0
-26.7680,61.8250,0
-26.5270,61.9390,0
-26.3090,62.1050,0
-26.1070,62.2370,0
-25.8750,62.3750,0
-25.6430,62.5030,0
-25.4490,62.6200,0
-29.0280,60.3400,0
-28.9270,60.3330,0
-29.0280,60.3400,0
-29.1180,60.2730,0
-29.2250,60.1680,0
-29.3720,60.0830,0
-29.5070,59.9690,0
-29.6360,59.8680,0
-29.8500,59.7510,0
-30.0430,59.6180,0
-30.1630,59.5290,0
-30.3060,59.3900,0
-30.4530,59.2380,0
-30.6470,59.0920,0
-30.7910,58.9410,0
-30.7910,58.9410,0
-30.9770,58.9760,0
-30.9770,58.9760,0
-31.0390,58.8920,0
-31.1780,58.8050,0
-31.3030,58.6900,0
-31.4270,58.5740,0
-31.5560,58.4470,0
-31.5560,58.4470,0
-31.7450,58.4680,0
-31.7450,58.4680,0
-31.8000,58.3970,0
-31.8720,58.3400,0
-31.9830,58.2490,0
-32.1230,58.1480,0
-32.2800,57.9980,0
-32.2800,57.9980,0
-32.4720,58.0060,0
-32.4720,58.0060,0
-32.4920,57.9570,0
-32.6190,57.8800,0
-32.7080,57.7730,0
-32.8060,57.6420,0
-32.8060,57.6420,0
-32.9180,57.6670,0
-32.9180,57.6670,0
-32.9640,57.6080,0
-33.0100,57.5480,0
-33.0700,57.4510,0
-33.2030,57.2850,0
-33.2030,57.2850,0
-33.3770,57.2650,0
-33.4970,57.2640,0
-33.4970,57.2640,0
-33.5090,57.1620,0
-33.5350,57.0880,0
-33.5660,57.0010,0
-33.5870,56.8750,0
-33.5870,56.8750,0
-33.6820,56.8710,0
-33.7960,56.8830,0
-33.9780,56.9020,0
-33.9780,56.9020,0
-34.0040,56.8270,0
-34.0430,56.7800,0
-34.0720,56.7390,0
-34.0720,56.7390,0
-34.2180,56.7460,0
-34.2180,56.7460,0
-34.2470,56.6590,0
-34.3210,56.5770,0
-34.3460,56.5020,0
-34.3460,56.5020,0
-34.4400,56.4990,0
-34.4400,56.4990,0
-34.4600,56.4360,0
-34.4930,56.3370,0
-34.5100,56.2100,0
-34.5580,56.0610,0
-34.6200,55.9390,0
-34.6380,55.8120,0
-34.6380,55.8120,0
-34.8770,55.8480,0
-34.8770,55.8480,0
-34.9010,55.7740,0
-34.9720,55.6910,0
-35.0800,55.4840,0
-35.1730,55.3260,0
-35.2510,55.1410,0
-35.3390,54.9960,0
-35.3390,54.9960,0
-35.2120,54.9710,0
-35.2120,54.9710,0
-35.2740,54.9130,0
-35.2890,54.7860,0
-35.3650,54.6780,0
-35.4120,54.5160,0
-35.4880,54.3310,0
-35.4880,54.3310,0
-35.3130,54.3270,0
-35.1210,54.3080,0
-35.1210,54.3080,0
-35.1470,54.2200,0
-35.2010,54.1110,0
-35.2700,53.9510,0
-35.3270,53.8280,0
-35.3950,53.6680,0
-35.4520,53.5460,0
-35.4520,53.5460,0
-35.2460,53.5120,0
-35.2460,53.5120,0
-35.2570,53.4750,0
-35.2820,53.3880,0
-35.3250,53.2380,0
-35.3250,53.2380,0
-35.1830,53.2100,0
-35.1830,53.2100,0
-35.1840,53.1340,0
-35.1610,52.9900,0
-35.1560,52.8610,0
-35.1380,52.7050,0
-34.8840,52.7040,0
-34.9250,52.7080,0
-35.1380,52.7050,0
-35.0110,52.7040,0
-34.8840,52.7040,0
-34.9250,52.7080,0
-34.5720,52.6820,0
-34.1740,52.6630,0
-33.7120,52.6480,0
-33.3350,52.6280,0
-33.0200,52.6150,0
-32.8570,52.5950,0
-32.6490,52.5810,0
-32.3590,52.5560,0
-32.0540,52.5160,0
-31.8660,52.5040,0
-31.5820,52.4650,0
-31.2570,52.4200,0
-31.2570,52.4200,0
-31.2650,52.3430,0
-31.2530,52.2630,0
-31.2680,52.1090,0
-31.2680,52.1090,0
-31.0580,52.1050,0
-30.8070,52.0950,0
-30.3760,52.0570,0
-30.0260,52.0300,0
-30.0260,52.0300,0
-30.0360,51.9530,0
-30.0110,51.8570,0
-30.0060,51.7650,0
-30.0010,51.6200,0
-29.9960,51.4240,0
-30.0010,51.2540,0
-29.9760,51.1070,0
-29.9820,50.9900,0
-29.9420,50.9310,0
-29.9090,50.8610,0
-29.8750,50.7900,0
-29.8310,50.7430,0
-29.7680,50.6940,0
-29.6620,50.5980,0
-29.5370,50.5000,0
-29.5080,50.4690,0
-29.4270,50.4160,0
-29.3220,50.3200,0
-29.1980,50.2210,0
-29.1260,50.1950,0
-29.0220,50.1520,0
-28.9950,50.0680,0
-28.9870,49.9880,0
-28.9600,49.9050,0
-28.8950,49.8150,0
-28.8690,49.7310,0
-28.8180,49.6570,0
-28.8180,49.6570,0
-28.7180,49.6530,0
-28.5620,49.6390,0
-28.5620,49.6390,0
-28.5450,49.5830,0
-28.4860,49.4810,0
-28.4520,49.3690,0
-28.4260,49.2860,0
-28.3530,49.2200,0
-28.3170,49.1610,0
-28.2630,49.0990,0
-28.2060,48.9960,0
-28.1620,48.9090,0
-28.0870,48.8030,0
-28.0350,48.6880,0
-28.0110,48.6050,0
-28.0110,48.6050,0
-27.8890,48.6090,0
-27.7600,48.5850,0
